2800456,86,14,0
44978337,6,64,30
70583169,50,0,50
293024,27,2,71
50255033,27,5,68
50225572,99,0,1
14381024,30,18,52
29504262,48,1,51
22446001,99,0,1
37889159,54,0,46
21789259,67,33,0
85313188,4,0,96
86058756,20,2,78
83036040,30,0,70
6426191,82,0,18
69582470,17,12,71
2679003,30,30,40
28314086,21,33,46
98864828,5,1,94
62923493,64,5,31
61915458,46,0,54
1056647,28,3,69
82024831,60,4,36
39513593,17,2,81
3460972,57,5,38
60677776,91,5,4
24547365,7,0,93
35819541,20,6,74
68254243,48,13,39
65331459,12,5,83
1370238,31,4,65
39467471,42,0,58
22627791,5,11,84
62346520,71,2,27
83834366,10,11,79
51365346,33,0,67
60486967,92,1,7
7070438,58,0,42
97472478,30,18,52
44685013,65,3,32
61101388,23,44,33
10114473,18,45,37
5093161,48,0,52
14614801,23,4,73
26187298,29,9,62
70852858,56,3,41
76044137,97,0,3
31444464,42,3,55
98934319,19,27,54
4678215,35,0,65
31033272,12,0,88
65228297,35,11,54
97654105,45,0,55
27041918,72,0,28
55618546,24,1,75
43967285,99,1,0
88525407,22,1,77
30220035,20,4,76
53836678,64,1,35
3984798,51,0,49
53772030,12,3,85
9691712,41,27,32
73709905,11,10,79
15452636,21,1,78
10076260,56,13,31
23796611,51,0,49
19712756,7,0,93
32758358,23,14,63
49950498,42,0,58
78281624,17,7,76
80730817,3,0,97
94785132,21,3,76
55687727,47,15,38
21956087,20,19,61
61166831,35,1,64
85307409,32,0,68
90053514,100,0,0
48164416,18,0,82
47271562,10,33,57
54979620,22,2,76
10610902,67,0,33
18660977,89,0,11
4547699,16,5,79
54346814,75,6,19
23546368,19,0,81
64508723,53,5,42
27513343,40,0,60
1190396,100,0,0
21574561,28,13,59
28520736,32,0,68
49491125,21,4,75
89504229,23,4,73
98660343,41,12,47
84635333,64,4,32
52092869,34,16,50
43185997,32,1,67
29440432,20,2,78
63901552,0,5,95
30069959,15,0,85
67005133,21,23,56
