2800456,10,0,0,0,0
44978337,1,7,2,0,0
70583169,5,0,1,0,4
293024,3,1,2,1,3
50255033,5,0,0,0,5
50225572,10,0,0,0,0
14381024,2,2,0,0,6
29504262,5,0,0,0,5
22446001,10,0,0,0,0
37889159,7,0,0,1,2
21789259,6,4,0,0,0
85313188,2,0,0,0,8
86058756,0,0,0,5,5
83036040,1,0,1,0,8
6426191,9,0,0,0,1
69582470,5,0,0,1,4
2679003,4,4,0,0,2
28314086,1,3,0,0,6
98864828,2,0,0,0,8
62923493,9,0,0,0,1
61915458,6,0,0,1,3
1056647,5,1,1,0,3
82024831,9,0,0,0,1
39513593,2,0,0,0,8
3460972,7,0,1,0,2
60677776,10,0,0,0,0
24547365,1,0,2,0,7
35819541,3,0,6,0,1
68254243,6,3,1,0,0
65331459,1,0,0,0,9
1370238,5,0,0,0,5
39467471,2,0,2,1,5
22627791,0,0,0,0,10
62346520,9,0,0,0,1
83834366,1,1,0,3,5
51365346,6,0,0,3,1
60486967,10,0,0,0,0
7070438,8,0,2,0,0
97472478,4,1,3,0,2
44685013,7,0,0,1,2
61101388,1,6,0,0,3
10114473,1,5,0,0,4
5093161,6,0,0,0,4
14614801,3,0,2,0,5
26187298,2,1,2,0,5
70852858,6,0,1,2,1
76044137,10,0,0,0,0
31444464,7,0,1,0,2
98934319,0,4,3,1,2
4678215,2,0,0,0,8
31033272,1,0,0,0,9
65228297,1,1,2,1,5
97654105,4,0,0,0,6
27041918,10,0,0,0,0
55618546,4,0,3,2,1
43967285,10,0,0,0,0
88525407,1,0,0,0,9
30220035,5,0,0,0,5
53836678,10,0,0,0,0
3984798,6,0,0,0,4
53772030,2,0,1,4,3
9691712,4,5,1,0,0
73709905,1,0,4,0,5
15452636,3,0,0,0,7
10076260,8,0,0,0,2
23796611,4,0,0,2,4
19712756,1,0,0,2,7
32758358,4,1,0,0,5
49950498,5,0,0,0,5
78281624,1,0,1,0,8
80730817,0,0,0,0,10
94785132,3,1,0,0,6
55687727,6,2,0,0,2
21956087,2,2,3,0,3
61166831,5,0,0,3,2
85307409,3,0,0,2,5
90053514,10,0,0,0,0
48164416,2,0,7,1,0
47271562,1,1,3,5,0
54979620,2,0,0,0,8
10610902,6,0,0,2,2
18660977,9,0,0,0,1
4547699,1,0,2,0,7
54346814,10,0,0,0,0
23546368,2,0,0,0,8
64508723,5,1,0,0,4
27513343,5,0,0,0,5
1190396,10,0,0,0,0
21574561,5,1,1,0,3
28520736,7,0,0,0,3
49491125,4,0,0,1,5
89504229,2,1,0,2,5
98660343,7,1,0,0,2
84635333,5,0,1,1,3
52092869,3,2,0,2,3
43185997,2,0,0,1,7
29440432,1,0,6,0,3
63901552,0,0,0,0,10
30069959,2,0,2,0,6
67005133,4,3,0,0,3
